========================================================
       MARATHON 28,000,000 RUNS PERFORMANCE LOG         
========================================================
Run_Index	Scalar_ns	AVX2_ns	Speedup
1	183519	112940	1.62x
2	127313	114288	1.11x
3	126836	114021	1.11x
4	126750	113506	1.12x
5	126361	113554	1.11x
6	160608	111770	1.44x
7	126424	112191	1.13x
8	126897	112570	1.13x
9	126528	111577	1.13x
10	126249	112155	1.13x
11	126671	111673	1.13x
12	126310	111635	1.13x
13	126529	111812	1.13x
14	126356	113300	1.12x
15	126330	119868	1.05x
16	203538	164284	1.24x
17	126539	111923	1.13x
18	126941	112268	1.13x
19	126551	129884	0.97x
20	146728	180850	0.81x
21	126514	111821	1.13x
22	126344	111569	1.13x
23	126356	111868	1.13x
24	126326	111689	1.13x
25	126433	113392	1.12x
26	126510	113655	1.11x
27	126454	113483	1.11x
28	126249	113546	1.11x
29	126345	155921	0.81x
30	126412	111595	1.13x
31	126208	113364	1.11x
32	126303	113464	1.11x
33	126367	113423	1.11x
34	126299	113641	1.11x
35	126422	113351	1.12x
36	178499	112055	1.59x
37	126559	113330	1.12x
38	126631	148075	0.86x
39	126719	111784	1.13x
40	126257	112004	1.13x
41	126205	111905	1.13x
42	126544	111613	1.13x
43	126350	145158	0.87x
44	126657	111911	1.13x
45	126501	111709	1.13x
46	126381	113442	1.11x
47	126320	113323	1.11x
48	126324	113457	1.11x
49	126359	113151	1.12x
50	126465	113469	1.11x
51	153785	111861	1.37x
52	126362	113672	1.11x
53	126591	113420	1.12x
54	126148	111750	1.13x
55	126494	113579	1.11x
56	126243	113679	1.11x
57	126530	111665	1.13x
58	128505	117119	1.10x
59	129986	117587	1.11x
60	127808	112458	1.14x
61	193586	114896	1.68x
62	127768	116085	1.10x
63	140641	147222	0.96x
64	127278	112364	1.13x
65	127270	113672	1.12x
66	199489	111906	1.78x
67	127141	113670	1.12x
68	126487	113675	1.11x
69	126618	113477	1.12x
70	126430	111739	1.13x
71	126698	113869	1.11x
72	126666	113366	1.12x
73	126626	111506	1.14x
74	127722	114641	1.11x
75	128313	112974	1.14x
76	127884	112045	1.14x
77	130241	112968	1.15x
78	126491	113343	1.12x
79	127264	115507	1.10x
80	127340	115013	1.11x
81	191831	111913	1.71x
82	126413	115834	1.09x
83	131877	112042	1.18x
84	126701	113707	1.11x
85	126541	111654	1.13x
86	126244	113625	1.11x
87	126620	111576	1.13x
88	126722	113614	1.12x
89	126415	151958	0.83x
90	130151	112078	1.16x
91	126495	114111	1.11x
92	143041	112011	1.28x
93	126487	113107	1.12x
94	126498	113515	1.11x
95	126368	113691	1.11x
96	154528	112091	1.38x
97	126420	113662	1.11x
98	126396	113315	1.12x
99	126327	113746	1.11x
100	126573	111998	1.13x
101	126391	113332	1.12x
102	126542	113553	1.11x
103	126365	113438	1.11x
104	126389	113414	1.11x
105	169472	111632	1.52x
106	126289	111713	1.13x
107	126407	111488	1.13x
108	126418	113422	1.11x
109	126457	113186	1.12x
110	126395	113610	1.11x
111	126389	154417	0.82x
112	126646	113436	1.12x
113	126562	113565	1.11x
114	126606	113343	1.12x
115	126299	113420	1.11x
116	126377	113454	1.11x
117	126376	113378	1.11x
118	126391	113634	1.11x
119	126469	111955	1.13x
120	126990	111551	1.14x
121	126645	113486	1.12x
122	126269	113751	1.11x
123	126401	114586	1.10x
124	126943	113153	1.12x
125	128644	117373	1.10x
126	130037	114135	1.14x
127	140408	112506	1.25x
128	126972	114170	1.11x
129	127803	114125	1.12x
130	127116	112852	1.13x
131	127747	114740	1.11x
132	126990	112322	1.13x
133	130669	116515	1.12x
134	130009	115213	1.13x
135	129148	113775	1.14x
136	131858	117513	1.12x
137	133991	115195	1.16x
138	131223	186649	0.70x
139	185081	242093	0.76x
140	161990	141453	1.15x
141	126651	112247	1.13x
142	126798	113874	1.11x
143	168664	113925	1.48x
144	126807	113748	1.11x
145	286659	112323	2.55x
146	127137	114089	1.11x
147	126425	113458	1.11x
148	126994	111833	1.14x
149	127474	115656	1.10x
150	127882	115512	1.11x
151	178958	176557	1.01x
152	253670	125873	2.02x
153	131016	176237	0.74x
154	129206	198978	0.65x
155	215858	160322	1.35x
156	213741	153939	1.39x
157	126702	159708	0.79x
158	207313	174276	1.19x
159	145393	111917	1.30x
160	126753	114122	1.11x
161	128494	113879	1.13x
162	129604	115206	1.12x
163	127625	111626	1.14x
164	126451	113451	1.11x
165	126480	111434	1.14x
166	126445	146413	0.86x
167	126493	113477	1.11x
168	126601	113143	1.12x
169	126458	111722	1.13x
170	126494	111792	1.13x
171	126210	111712	1.13x
172	126580	113469	1.12x
173	126407	112003	1.13x
174	126316	113344	1.11x
175	126526	113448	1.12x
176	126537	111940	1.13x
177	126579	113526	1.11x
178	126333	111928	1.13x
179	126199	113629	1.11x
180	132709	194176	0.68x
181	160145	175999	0.91x
182	126528	113591	1.11x
183	126501	113590	1.11x
184	140429	111815	1.26x
185	126435	113588	1.11x
186	126682	113561	1.12x
187	126491	113387	1.12x
188	126476	113700	1.11x
189	126820	113593	1.12x
190	177747	111717	1.59x
191	126368	113374	1.11x
192	126737	113474	1.12x
193	126464	113391	1.12x
194	126472	111806	1.13x
195	126437	111692	1.13x
196	126595	176250	0.72x
197	126756	111643	1.14x
198	126516	116635	1.08x
199	175555	113886	1.54x
200	126793	113886	1.11x
201	171468	111868	1.53x
202	126630	125417	1.01x
203	146226	112491	1.30x
204	126646	113259	1.12x
205	126312	113580	1.11x
206	126453	122026	1.04x
207	126587	113667	1.11x
208	126452	113674	1.11x
209	126549	113649	1.11x
210	126390	113595	1.11x
211	157445	112028	1.41x
212	126570	113543	1.11x
213	126434	113171	1.12x
214	126270	113598	1.11x
215	135427	126615	1.07x
216	126802	113583	1.12x
217	126421	113327	1.12x
218	126389	113994	1.11x
219	126626	113663	1.11x
220	126560	113417	1.12x
221	126649	113660	1.11x
222	126482	113481	1.11x
223	126532	113553	1.11x
224	126444	113566	1.11x
225	126339	113472	1.11x
226	126257	142159	0.89x
227	126611	111815	1.13x
228	126507	111637	1.13x
229	126535	111851	1.13x
230	126547	111833	1.13x
231	126281	111925	1.13x
232	126553	111674	1.13x
233	126576	111681	1.13x
234	126357	111356	1.13x
235	126501	113305	1.12x
236	126398	113558	1.11x
237	126684	113729	1.11x
238	126445	113553	1.11x
239	126362	113650	1.11x
240	126495	111710	1.13x
241	126406	113566	1.11x
242	150269	111676	1.35x
243	126626	113886	1.11x
244	126583	113488	1.12x
245	138227	111767	1.24x
246	126492	113675	1.11x
247	126452	113613	1.11x
248	126464	113392	1.12x
249	126350	113583	1.11x
250	126256	113961	1.11x
251	126770	113542	1.12x
252	126634	111519	1.14x
253	126382	111900	1.13x
254	126633	113535	1.12x
255	126482	111899	1.13x
256	126483	113713	1.11x
257	126376	149162	0.85x
258	126572	113742	1.11x
259	126494	113746	1.11x
260	126428	113612	1.11x
261	126386	113532	1.11x
262	126286	111758	1.13x
263	126423	111603	1.13x
264	126254	111557	1.13x
265	160256	112016	1.43x
266	126411	125429	1.01x
267	126631	111711	1.13x
268	126463	111789	1.13x
269	126551	112003	1.13x
270	126433	111684	1.13x
271	126371	113416	1.11x
